filename,state,ndvi,ndbi,ndwi,path
tile_0.tif,Delhi,0.23448017,-0.1228772,-0.25735256,E:\Delhi_tiles_8band_overlap_50\tile_0.tif
tile_1.tif,Delhi,0.23890169,-0.13382417,-0.26119405,E:\Delhi_tiles_8band_overlap_50\tile_1.tif
tile_10.tif,Delhi,0.25304377,-0.15532343,-0.2706025,E:\Delhi_tiles_8band_overlap_50\tile_10.tif
tile_100.tif,Delhi,0.2516111,-0.13878043,-0.26388854,E:\Delhi_tiles_8band_overlap_50\tile_100.tif
tile_1000.tif,Delhi,0.12579322,-0.0372903,-0.15581214,E:\Delhi_tiles_8band_overlap_50\tile_1000.tif
tile_1001.tif,Delhi,0.12284097,-0.040908784,-0.15158533,E:\Delhi_tiles_8band_overlap_50\tile_1001.tif
tile_1002.tif,Delhi,0.15679836,-0.076394245,-0.17887288,E:\Delhi_tiles_8band_overlap_50\tile_1002.tif
tile_1003.tif,Delhi,0.19776472,-0.120286286,-0.20967582,E:\Delhi_tiles_8band_overlap_50\tile_1003.tif
tile_1004.tif,Delhi,0.18001147,-0.109676644,-0.19519776,E:\Delhi_tiles_8band_overlap_50\tile_1004.tif
tile_1005.tif,Delhi,0.16610289,-0.09495245,-0.1862989,E:\Delhi_tiles_8band_overlap_50\tile_1005.tif
tile_1006.tif,Delhi,0.16321257,-0.095344484,-0.18130486,E:\Delhi_tiles_8band_overlap_50\tile_1006.tif
tile_1007.tif,Delhi,0.12852801,-0.072808914,-0.14946258,E:\Delhi_tiles_8band_overlap_50\tile_1007.tif
tile_1008.tif,Delhi,0.09553453,-0.05036835,-0.12118199,E:\Delhi_tiles_8band_overlap_50\tile_1008.tif
tile_1009.tif,Delhi,0.089683026,-0.045703836,-0.116441175,E:\Delhi_tiles_8band_overlap_50\tile_1009.tif
tile_101.tif,Delhi,0.251277,-0.14052878,-0.26528215,E:\Delhi_tiles_8band_overlap_50\tile_101.tif
tile_1010.tif,Delhi,0.11626704,-0.06369143,-0.13930197,E:\Delhi_tiles_8band_overlap_50\tile_1010.tif
tile_1011.tif,Delhi,0.17129792,-0.10065739,-0.18709284,E:\Delhi_tiles_8band_overlap_50\tile_1011.tif
tile_1012.tif,Delhi,0.21770194,-0.11879508,-0.22859117,E:\Delhi_tiles_8band_overlap_50\tile_1012.tif
